Localities,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population
Mungallala,1045.624156,7,1013.375168,7,1088.995864,9,981.2596572,6,85
Mungindi,990.884835,4,972.043021,5,996.7120213,4,963.4245187,5,124
Murgon,864.0061157,1,858.1112523,1,893.2503517,1,880.7047149,1,2220
Muttaburra,1005.834629,5,992.0675004,6,1052.062415,7,1002.018273,7,158
Nambour,929.6530301,2,904.7525034,2,935.9564049,2,919.2064005,3,12145
Nanango,839.6067878,1,827.0302766,1,889.7391443,1,840.72299,1,3679
Nebo,941.7793007,2,906.0822364,2,982.9470549,3,835.888101,1,857
Nerang,972.1660864,3,943.0008394,3,984.579672,3,929.2623283,3,17048
Noosa Heads,1059.629461,8,1063.410256,9,1038.621004,6,1069.442332,9,5120
Normanton,812.7658867,1,847.5029853,1,795.2790786,1,868.2521934,1,1391
Oakey,887.2849712,1,859.9889936,1,939.614019,2,841.0318353,1,4756
Palm Beach,1037.999736,7,1033.639856,8,1000.818251,4,1032.315004,8,16349
Palm Island,566.9441807,1,706.884793,1,570.295082,1,851.2493588,1,2138
Palmwoods,1023.84531,6,997.5390495,6,1043.498847,7,983.7549793,6,6357
Pentland,860.6109748,1,869.5527674,1,892.6355883,1,870.2250115,1,248
Peranga,967.7056315,3,941.8499339,3,1000.576401,4,924.485638,3,98
Petrie,1007.475021,5,978.4572194,5,1011.744405,5,968.3208062,5,8722
Pimpama,995.2764739,4,974.281594,5,1006.587832,4,959.599513,5,24601
Pittsworth,962.1016857,3,919.0671395,2,969.3168211,3,887.8484757,2,3300
Pomona,1019.279669,6,980.5486026,5,1031.791416,6,968.0541231,5,2931
Pormpuraaw,547.204349,1,706.0980262,1,512.2059331,1,758.922157,1,611
Port Douglas,998.5953717,5,970.0119801,5,948.2301721,2,961.1756923,5,3650
Proserpine,930.1561643,2,890.0600111,2,933.2699632,2,869.8632508,1,3614
Proston,864.2740468,1,856.2982448,1,880.3544986,1,889.749896,2,410
Quilpie,976.1572521,3,942.4280377,3,945.8765783,2,901.0444873,2,530
Rathdowney,957.9469874,3,925.0273382,2,1003.245033,4,923.6689014,3,320
Ravenshoe,842.0907592,1,832.7207342,1,897.0578065,1,844.988475,1,1332
Ravenswood,914.4548799,2,903.4042045,2,919.2491507,1,874.3615883,1,297
Redcliffe,934.5479442,2,923.8054401,2,919.0994098,1,937.5222643,3,10460
Redland Bay,1039.283305,7,1013.128605,7,1073.432661,8,969.2847264,5,17056
Richmond,989.441188,4,953.9514826,4,981.847022,3,899.0945353,2,578
Robina,1039.79441,7,1035.029448,8,1017.660357,5,1032.661698,8,25659
Rolleston,959.7862765,3,945.7380633,3,955.6629567,2,977.696953,5,132
Rollingstone,920.4864106,2,925.76219,2,940.8880454,2,915.6275926,3,133
Roma,988.2278184,4,953.324813,4,953.2372356,2,929.4928555,3,6838
Rosedale,834.3158451,1,852.9311203,1,945.9999477,2,888.5333516,2,452
Rosewood,881.4661089,1,862.794456,1,911.3390086,1,862.5966499,1,3263
Runaway Bay,1023.257288,6,1011.750535,7,1013.826872,5,998.778115,6,9308
Russell Island,799.4720761,1,796.9641558,1,868.7625512,1,838.0843234,1,3698
Sandgate,1030.549684,6,1040.558121,8,998.183744,4,1061.562272,9,4926
Sarina,951.8350701,2,908.49947,2,988.0235103,3,850.9168331,1,5619
Seaforth,986.5630099,4,923.0572565,2,1004.994572,4,866.2637205,1,800
Sherwood,1071.230421,9,1095.410309,10,1024.380996,5,1126.249433,10,6082
Silkwood,920.2852849,2,873.8979091,1,977.4566222,3,849.6648267,1,407
Sippy Downs,1004.758045,5,986.9841979,6,1006.603349,4,984.0521249,6,11544
Smithfield,1041.549375,7,1020.961838,7,1027.572401,6,1017.817464,7,6664
South Johnstone,914.3030188,2,869.8760232,1,926.3673352,1,848.0141867,1,456
South Kolan,954.1086589,3,903.0191212,2,1010.114231,5,857.0117289,1,1258
Southport,956.1539104,3,967.7621237,4,890.7181749,1,1003.164687,7,36786
Springfield,1014.330524,5,992.6897463,6,1040.689368,6,981.1664495,6,7322
Springsure,980.7432411,4,947.4340164,3,987.7114228,3,909.0405697,2,950
Springwood,1027.194076,6,1006.342048,7,1013.982344,5,998.6222336,6,9710
Stafford,1011.675716,5,1022.318073,8,958.8758629,2,1050.818768,9,6978
Stanthorpe,913.1038473,2,890.2541468,2,926.2251268,1,887.6454504,2,5286
Stuart,890.4918392,1,868.9234955,1,936.1310228,2,888.5391244,2,1576
Surat,884.2077201,1,864.011865,1,905.8721326,1,863.6342763,1,402
Surfers Paradise,986.3086771,4,995.7748093,6,912.7858547,1,1010.523082,7,26412
Tambo,883.1747102,1,858.4060238,1,907.7235128,1,872.6719781,1,318
Tannum Sands,1008.871193,5,976.9572313,5,1021.062316,5,943.2548328,4,5227
Tara,769.7739291,1,791.4671533,1,862.4569689,1,834.2877451,1,1980
Taroom,978.5842587,3,934.1117508,3,979.8181557,3,899.1419842,2,885
Texas,846.614812,1,834.8291778,1,880.8421346,1,833.5193382,1,790
Thallon,992.5085929,4,972.6481739,5,997.9283054,4,963.3225457,5,231
Thargomindah,985.7699919,4,938.0892803,3,962.0122904,2,880.5809317,1,243
The Gap,1093.496228,10,1108.933492,10,1095.640003,9,1124.927436,10,17318
Theodore,947.1995674,2,898.9003903,2,923.7687705,1,855.0387747,1,451
Thursday Island,914.902265,2,945.0611104,3,834.1065292,1,986.5832842,6,2805
Tiaro,848.4604669,1,837.8021438,1,933.1178506,2,848.5682282,1,778
Tieri,1047.748901,8,1000.80721,6,975.9985927,3,920.923739,3,732
Tin Can Bay,887.5438728,1,863.6361377,1,907.0979981,1,875.3671666,1,2293
Toogoolawah,929.8659,2,885.9711454,1,966.1375342,3,863.6058855,1,1200
Tully,910.7506749,2,885.5913858,1,907.150123,1,852.080545,1,2368
Upper Mount Gravatt,1006.025534,5,1018.120287,7,941.8602138,2,1050.584452,9,10800
Walkerston,1028.20228,6,968.4007089,4,1043.454518,7,893.7988118,2,3615
Wallangarra,771.8318074,1,785.0601633,1,879.3619983,1,798.8634707,1,440
Wallumbilla,964.7395061,3,931.1304812,3,978.0737439,3,899.6153198,2,331
Wandoan,871.5926153,1,875.1088638,1,906.3188283,1,895.2081065,2,666
Warwick,898.4628812,1,874.1178885,1,917.5193603,1,866.0029097,1,12294
Weipa,1045.481781,7,1032.417624,8,1008.114001,4,945.4803452,4,2214
West End,1054.22359,8,1100.803484,10,940.798896,2,1151.337505,10,14730
Westwood,943.1468046,2,912.6826807,2,1001.565222,4,892.7783433,2,199
Whitsunday,1009.401962,5,961.9248284,4,1048.383334,7,909.3205826,2,346
Windorah,987.8804064,4,958.7108689,4,1002.187628,4,879.1358506,1,104
Winton,970.285861,3,926.99219,2,936.1150444,2,895.5702916,2,856
Wondai,896.9391576,1,871.8707249,1,923.1486034,1,880.9865371,1,1975
Woodford,959.6140221,3,922.6670546,2,1014.61504,5,885.6979843,2,4022
Woorabinda,492.4761137,1,658.6735642,1,513.1513378,1,816.2933995,1,1019
Wowan,826.1245997,1,829.608874,1,897.9026454,1,839.6745569,1,170
Wujal Wujal,510.2589571,1,692.098311,1,542.39375,1,861.8139394,1,276
Wyandra,1019.60112,6,1024.487105,8,1028.886812,6,1049.779149,9,78
